VentaID,Fecha,ProductoID,TiendaID,Cantidad,PrecioUnitario,Ingreso,StockActual,NombreTienda,Ciudad,Canal,NombreProducto,Categoría,CostoUnitario,Mes,Mes_Nombre,Margen
1,2025-04-22,21,4,2,360.67,721.34,166,Tienda 4,Murphyshire,Físico,Deportes Protect 21,Deportes,20.35,4,April,340.32
2,2025-02-19,22,3,1,390.92,390.92,66,Tienda 3,South Anthony,Online,Electrónica Serve 22,Electrónica,349.9,2,February,41.02000000000004
3,2025-04-15,7,2,2,326.05,652.1,191,Tienda 2,South Natasha,Físico,Hogar East 7,Hogar,25.6,4,April,300.45
4,2025-01-05,23,1,2,312.51,625.02,133,Tienda 1,New Michael,Online,Deportes About 23,Deportes,177.18,1,January,135.32999999999998
5,2024-12-26,31,9,2,462.0,924.0,4,Tienda 9,Nobleside,Físico,Ropa Across 31,Ropa,341.72,12,December,120.27999999999997
6,2025-01-08,34,8,1,219.82,219.82,93,Tienda 8,Rushton,Físico,Ropa System 34,Ropa,183.17,1,January,36.650000000000006
7,2025-03-03,13,10,3,414.16,1242.48,28,Tienda 10,Frederickburgh,Físico,Hogar Such 13,Hogar,59.12,3,March,355.04
8,2025-02-08,34,1,4,219.82,879.28,93,Tienda 1,New Michael,Online,Ropa System 34,Ropa,183.17,2,February,36.650000000000006
9,2025-03-22,14,10,5,331.85,1659.25,171,Tienda 10,Frederickburgh,Físico,Ropa Cell 14,Ropa,274.44,3,March,57.410000000000025
10,2024-12-29,45,4,4,295.48,1181.92,164,Tienda 4,Murphyshire,Físico,Juguetes Little 45,Juguetes,90.19,12,December,205.29000000000002
11,2025-01-22,45,3,5,295.48,1477.4,164,Tienda 3,South Anthony,Online,Juguetes Little 45,Juguetes,90.19,1,January,205.29000000000002
12,2025-01-12,26,5,2,179.17,358.34,30,Tienda 5,New Kristen,Físico,Juguetes Team 26,Juguetes,53.57,1,January,125.6
13,2025-03-08,31,1,5,462.0,2310.0,4,Tienda 1,New Michael,Online,Ropa Across 31,Ropa,341.72,3,March,120.27999999999997
14,2025-04-30,40,5,3,245.98,737.94,156,Tienda 5,New Kristen,Físico,Deportes Specific 40,Deportes,65.72,4,April,180.26
15,2025-03-24,3,6,2,258.87,517.74,85,Tienda 6,Smithstad,Online,Deportes Notice 3,Deportes,21.45,3,March,237.42000000000002
16,2024-12-27,15,6,4,483.51,1934.04,135,Tienda 6,Smithstad,Online,Ropa Statement 15,Ropa,31.13,12,December,452.38
17,2025-04-29,40,1,2,245.98,491.96,156,Tienda 1,New Michael,Online,Deportes Specific 40,Deportes,65.72,4,April,180.26
18,2024-12-07,50,2,5,260.09,1300.45,123,Tienda 2,South Natasha,Físico,Electrónica Teacher 50,Electrónica,20.14,12,December,239.95
19,2025-02-12,4,6,5,467.99,2339.95,135,Tienda 6,Smithstad,Online,Electrónica Five 4,Electrónica,265.94,2,February,202.05
20,2025-02-09,18,2,3,256.49,769.47,180,Tienda 2,South Natasha,Físico,Ropa Leave 18,Ropa,323.94,2,February,-67.44999999999999
