CustomerID,TotalGastado,Frecuencia,DiasDesdeUltimaCompra,Reclamos,CategoriaFavorita,Edad,Genero,TieneMembresia
1,803.9,5,293,0,1,44,1,0
2,4615.18,7,110,0,1,42,1,0
3,2075.12,4,126,1,4,40,1,1
4,1469.41,2,48,1,3,69,2,1
5,354.44,3,252,2,0,56,0,0
6,354.39,3,269,2,1,26,2,0
7,189.76,7,231,1,1,59,0,1
8,3116.85,9,315,1,0,42,0,0
9,1478.62,7,15,0,3,42,1,0
10,1946.88,1,24,0,4,27,0,0
11,131.2,11,331,1,0,32,1,0
12,5355.34,3,264,1,4,54,1,1
13,2779.64,6,106,1,4,61,0,0
14,458.03,9,119,0,1,68,1,1
15,401.02,6,358,0,3,20,0,1
16,403.92,5,170,1,4,41,1,0
17,644.13,4,115,1,0,41,0,1
18,1215.89,8,135,0,3,26,0,0
19,948.31,8,152,1,2,67,0,1
20,616.33,4,283,1,2,50,1,0
21,1519.56,4,127,0,0,31,0,0
22,325.35,3,3,1,2,20,1,1
23,618.27,3,48,1,3,23,1,1
24,784.42,8,230,0,3,33,1,1
25,1013.4,5,304,0,1,52,0,0
26,2406.9,2,177,2,3,34,0,0
27,434.1,4,285,0,4,22,1,0
28,1183.04,11,202,0,1,39,1,1
29,1446.26,4,17,0,4,33,0,0
30,171.35,7,234,2,3,30,1,0
31,1503.0,5,7,2,1,60,1,0
32,380.44,6,171,1,0,29,0,0
33,200.9,4,291,0,0,27,1,1
34,4560.53,8,168,3,0,27,0,1
35,5155.95,6,195,1,1,69,1,1
36,2578.5,3,205,1,3,65,0,1
37,644.93,7,134,0,3,31,0,1
38,254.17,4,258,0,1,50,0,0
39,1829.13,3,39,1,1,56,0,0
40,970.14,8,102,1,2,58,1,1
41,295.23,7,33,1,2,62,0,1
42,1125.32,4,362,0,1,58,1,1
43,152.49,6,151,0,0,45,0,0
44,3700.63,8,33,0,3,39,1,0
45,549.19,5,89,0,0,35,1,0
46,1729.38,5,78,0,4,32,0,0
47,660.32,4,30,2,4,34,0,0
48,1201.17,7,265,2,4,19,2,0
49,1286.84,5,350,3,0,26,1,0
50,406.58,6,126,0,2,30,1,0
51,5339.21,8,71,1,4,38,0,1
52,2338.37,5,62,1,1,31,0,0
53,4307.64,4,200,1,3,58,0,0
54,3478.23,2,327,1,2,32,0,0
55,1466.58,6,234,0,4,19,0,0
56,3924.15,9,219,3,3,44,0,1
57,238.98,6,153,0,3,51,0,0
58,427.2,6,175,1,2,38,1,1
59,169.42,4,307,0,0,54,1,0
60,690.3,4,284,1,3,65,1,0
61,838.2,7,354,1,2,30,1,0
62,574.84,6,202,2,4,59,0,1
63,2746.84,8,125,0,2,24,0,0
64,761.84,7,189,1,0,52,1,0
65,594.7,9,358,1,4,41,1,0
66,1273.61,9,323,0,0,68,1,0
67,327.85,9,204,0,3,64,0,0
68,2530.73,10,190,1,2,18,2,0
69,216.21,6,154,2,1,59,0,0
70,6601.22,4,233,0,0,38,1,1
71,2319.23,5,233,1,2,58,0,1
72,432.31,6,262,1,1,37,0,1
73,108.31,7,67,0,1,36,0,1
74,2634.85,8,219,0,2,38,0,0
75,1940.64,5,270,2,4,35,1,0
76,2058.49,7,113,0,1,56,1,1
77,2312.82,14,306,2,2,42,1,1
78,215.39,4,75,0,2,37,1,1
79,765.84,8,244,0,4,54,0,0
80,284.73,8,243,2,2,48,0,0
81,3082.79,3,145,0,0,38,0,0
82,1564.45,6,183,0,0,65,1,0
83,702.73,3,188,0,4,33,0,1
84,198.5,5,174,0,3,24,0,0
85,658.73,4,62,0,2,58,0,0
86,689.97,4,244,0,0,57,0,0
87,2061.81,2,144,2,0,60,0,1
88,1622.33,8,235,0,2,49,1,0
89,3373.38,5,304,0,2,24,1,0
90,1058.6,10,54,0,1,57,1,1
91,291.06,5,161,0,4,29,0,0
92,1973.69,7,199,1,1,69,0,1
93,2245.59,4,328,1,4,51,0,1
94,1335.83,9,117,3,1,35,1,1
95,2310.83,7,123,1,4,30,0,0
96,1121.22,6,30,1,2,18,1,0
97,1209.52,4,7,0,4,51,1,0
98,936.72,12,317,0,0,18,0,0
99,138.62,8,142,0,3,42,1,0
100,271.25,7,189,0,0,26,1,0
101,147.9,7,320,2,4,38,1,0
102,1617.59,7,55,1,4,24,0,1
103,666.1,7,323,1,4,36,0,0
104,1165.66,6,90,2,3,48,1,0
105,3671.9,9,314,1,3,50,0,1
106,530.11,7,162,1,1,45,1,1
107,892.42,9,94,0,4,67,1,1
108,2213.12,14,255,2,1,38,1,0
109,489.71,5,157,0,0,55,0,0
110,220.16,2,165,0,3,20,1,0
111,613.21,5,236,4,2,61,0,1
112,363.71,3,345,2,3,38,0,1
113,4082.43,8,68,0,1,28,1,0
114,2576.33,5,318,1,2,56,1,1
115,1605.24,6,251,0,2,63,1,0
116,3177.28,9,1,2,2,44,0,0
117,2541.95,7,200,0,3,52,0,0
118,409.74,6,117,0,4,38,1,1
119,3446.22,3,57,1,2,48,0,0
120,1262.65,7,313,2,0,25,0,0
121,2571.02,6,322,0,0,49,0,0
122,3496.36,7,337,0,2,40,1,0
123,674.1,4,317,1,0,54,1,0
124,274.89,7,308,2,0,20,1,0
125,488.03,7,363,2,0,27,0,0
126,935.59,5,49,0,1,40,0,1
127,2655.74,8,23,2,1,56,0,0
128,3057.02,5,213,2,0,22,2,0
129,110.46,1,221,2,4,63,1,0
130,1172.31,10,325,0,0,60,1,1
131,910.41,2,352,1,1,57,0,0
132,476.75,7,149,3,2,20,1,0
133,291.52,5,186,2,0,55,0,0
134,717.86,6,265,0,3,66,2,0
135,4394.68,7,199,1,1,61,0,0
136,685.58,9,82,1,1,21,0,1
137,1197.18,5,79,1,1,28,1,0
138,1921.13,6,217,1,2,28,0,0
139,777.96,11,176,2,3,65,0,0
140,5451.7,6,336,0,3,36,0,0
141,5023.01,8,212,0,3,21,1,0
142,535.09,7,37,1,1,49,0,0
143,1131.49,5,115,0,0,48,2,0
144,636.9,4,5,1,0,62,1,0
145,602.87,6,240,1,3,53,0,0
146,156.38,5,7,1,1,68,2,0
147,1510.74,5,298,3,0,35,0,0
148,1147.78,6,316,0,4,67,1,1
149,179.28,3,260,1,0,50,1,0
150,589.94,8,237,4,0,20,0,0
151,3683.29,4,333,1,4,23,1,0
152,510.79,6,99,0,0,27,0,1
153,334.8,7,363,3,2,60,0,1
154,1108.41,9,116,0,1,36,1,0
155,6466.06,6,125,1,2,18,1,0
156,515.72,4,110,0,2,62,0,1
157,1772.73,4,203,1,1,52,0,1
158,2250.83,6,269,1,2,30,1,1
159,507.0,8,287,0,0,69,1,0
160,2054.12,6,298,1,3,50,0,1
161,787.78,6,70,2,3,37,0,0
162,1600.76,11,139,0,2,26,1,0
163,1605.76,3,149,0,3,27,0,0
164,1251.08,7,154,2,2,51,0,0
165,241.94,8,15,0,1,36,1,0
